SKU_ID,SKU_NAME,CATEGORY,ABC_CLASS,SUPPLIER_ID,SUPPLIER_NAME,WAREHOUSE_ID,WAREHOUSE_LOCATION,BATCH_ID,RECEIVED_DATE,LAST_PURCHASE_DATE,EXPIRY_DATE,AUDIT_DATE,STOCK_AGE_DAYS,QUANTITY_ON_HAND,QUANTITY_RESERVED,QUANTITY_COMMITTED,DAMAGED_QTY,RETURNS_QTY,AVG_DAILY_SALES,FORECAST_NEXT_30D,DAYS_OF_INVENTORY,SKU_CHURN_RATE,ORDER_FREQUENCY_PER_MONTH,REORDER_POINT,SAFETY_STOCK,LEAD_TIME_DAYS,UNIT_COST_USD,LAST_PURCHASE_PRICE_USD,TOTAL_INVENTORY_VALUE_USD,SUPPLIER_ONTIME_PCT,FIFO_FEFO,INVENTORY_STATUS,COUNT_VARIANCE,AUDIT_VARIANCE_PCT,DEMAND_FORECAST_ACCURACY_PCT,NOTES,UPLOAD_TIMESTAMP
SKU0249,Seafood Product 394,Seafood,A,S010,PT DailyDairy,WHDPS,Denpasar - Tabanan,BATCH1485,2025-05-31,2025-04-21,2025-06-08,2025-07-14,101,180.00,88.00,41.00,1.00,0.00,2953.00,944,610.00,492.00,1200.00,183.00,65.00,4,1123.00,1139.00,2.02,0.00,FEFO,Low Stock,-3.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0250,Seafood Product 482,Seafood,B,S007,PT Bakerindo,WHMDN,Medan - Deli Serdang,BATCH2404,2025-07-24,2025-06-05,2025-08-02,2025-08-09,47,166.00,27.00,30.00,1.00,2.00,1470.00,326,1129.00,266.00,600.00,93.00,34.00,4,542.00,540.00,89896.00,0.00,FEFO,Expiring Soon,2.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0251,Fresh Product 79,Fresh Produce,B,S007,PT Bakerindo,WHBDG,Bandung - Rancaekek,BATCH6909,2025-06-02,2025-05-27,2025-06-10,2025-09-09,99,555.00,126.00,179.00,4.00,0.00,5189.00,2,1070.00,280.00,1500.00,787.00,268.00,10,205.00,185.00,1.14,0.00,FIFO,Low Stock,3.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0252,Frozen Product 390,Frozen,C,S005,PT Agro Raya,WHJKT,Jakarta - Cengkareng,BATCH4070,2025-08-07,2025-07-11,2026-02-25,2025-06-30,33,202.00,19.00,17.00,0.00,2.00,1012.00,358,1996.00,150.00,400.00,78.00,27.00,5,384.00,354.00,77558.00,0.00,FEFO,In Stock,-4.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0253,Bakery Product 14,Bakery,C,S002,PT Indo Fresh,WHSBY,Surabaya - Sidoarjo,BATCH6315,2025-04-21,2025-02-25,2025-04-23,2025-09-08,141,226.00,31.00,26.00,3.00,1.00,1520.00,421,1487.00,202.00,800.00,115.00,39.00,5,115.00,120.00,25965.00,0.00,FEFO,Expiring Soon,-1.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0254,Bakery Product 44,Bakery,B,S009,PT Beverage Nusantara,WHBDG,Bandung - Rancaekek,BATCH3778,2025-04-16,2025-03-04,2025-04-22,2025-08-19,146,365.00,0.00,12.00,1.00,0.00,3271.00,715,1116.00,269.00,1400.00,252.00,88.00,5,388.00,360.00,1.42,0.00,FEFO,Expiring Soon,2.00,0.00,0.00,Promotional item,2026-01-04T03:05:54Z
SKU0255,Meat Product 75,Meat,A,S002,PT Indo Fresh,WHBDG,Bandung - Rancaekek,BATCH7899,2025-05-21,2025-05-02,2025-06-03,2025-08-31,111,595.00,74.00,33.00,0.00,0.00,3162.00,1,1882.00,159.00,1100.00,51.00,19.00,1,690.00,726.00,4.10,0.00,FEFO,Expiring Soon,4.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0256,Personal Product 370,Personal Care,C,S008,PT Hygienic Supplies,WHDPS,Denpasar - Tabanan,BATCH8501,2025-04-05,2025-03-30,2027-05-10,2025-08-02,157,21.00,2.00,6.00,2.00,1.00,274.00,58,766.00,391.00,100.00,11.00,8.00,1,2385.00,2573.00,50078.00,0.00,FIFO,In Stock,6.00,0.00,0.00,Fragile,2026-01-04T03:05:54Z
SKU0257,Seafood Product 318,Seafood,C,S007,PT Bakerindo,WHSBY,Surabaya - Sidoarjo,BATCH8055,2025-05-20,2025-03-29,2025-05-28,2025-08-02,112,35.00,19.00,8.00,0.00,2.00,1313.00,438,267.00,1125.00,300.00,48.00,22.00,2,1333.00,1459.00,46657.00,0.00,FIFO,Low Stock,4.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0258,Personal Product 103,Personal Care,B,S008,PT Hygienic Supplies,WHSBY,Surabaya - Sidoarjo,BATCH6228,2025-07-26,2025-07-08,2028-10-18,2025-06-28,45,122.00,53.00,15.00,2.00,4.00,1764.00,516,692.00,434.00,300.00,87.00,34.00,3,844.00,951.00,1.03,0.00,FEFO,In Stock,2.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0259,Seafood Product 144,Seafood,A,S007,PT Bakerindo,WHSBY,Surabaya - Sidoarjo,BATCH9939,2025-08-11,2025-07-31,2025-08-17,2025-07-12,29,235.00,15.00,23.00,1.00,0.00,2194.00,482,1071.00,280.00,800.00,40.00,18.00,1,874.00,851.00,2.05,0.00,FIFO,Expiring Soon,5.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0260,Dairy Product 409,Dairy,C,S005,PT Agro Raya,WHJKT,Jakarta - Cengkareng,BATCH9180,2025-05-28,2025-05-20,2025-06-25,2025-08-10,104,85.00,10.00,12.00,2.00,0.00,521.00,161,1631.00,184.00,300.00,17.00,7.00,2,220.00,234.00,18731.00,0.00,FEFO,Expiring Soon,-1.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0261,Dairy Product 217,Dairy,C,S007,PT Bakerindo,WHJKT,Jakarta - Cengkareng,BATCH8851,2025-05-18,2025-04-11,2025-06-13,2025-07-03,114,27.00,27.00,0.00,0.00,0.00,5300.00,1,51.00,5889.00,2700.00,561.00,190.00,7,127.00,134.00,3417.00,0.00,FEFO,Low Stock,-2.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0262,Personal Product 355,Personal Care,C,S007,PT Bakerindo,WHDPS,Denpasar - Tabanan,BATCH9796,2025-08-31,2025-07-24,2028-09-05,2025-08-27,9,23.00,10.00,0.00,2.00,1.00,370.00,79,622.00,483.00,400.00,81.00,29.00,14,1785.00,1958.00,41045.00,0.00,FIFO,Low Stock,3.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0263,Pantry Product 182,Pantry,B,S003,PT Prima Distribusi,WHDPS,Denpasar - Tabanan,BATCH7547,2025-08-29,2025-07-12,2029-10-25,2025-07-16,11,103.00,55.00,48.00,2.00,2.00,2280.00,694,452.00,664.00,1000.00,242.00,82.00,7,1159.00,1179.00,1.19,0.00,FEFO,Low Stock,1.00,0.00,0.00,Seasonal SKU,2026-01-04T03:05:54Z
SKU0264,Meat Product 262,Meat,C,S009,PT Beverage Nusantara,WHDPS,Denpasar - Tabanan,BATCH8303,2025-04-14,2025-03-22,2025-04-26,2025-07-12,148,71.00,5.00,42.00,1.00,1.00,2471.00,605,287.00,1044.00,900.00,265.00,92.00,7,192.00,213.00,13617.00,0.00,FEFO,Low Stock,-1.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0265,Pantry Product 257,Pantry,C,S003,PT Prima Distribusi,WHSBY,Surabaya - Sidoarjo,BATCH2712,2025-09-03,2025-08-16,2029-05-18,2025-08-30,6,51.00,9.00,10.00,0.00,1.00,641.00,175,796.00,377.00,200.00,73.00,28.00,7,886.00,808.00,45195.00,0.00,FEFO,Low Stock,-1.00,0.00,0.00,High return rate,2026-01-04T03:05:54Z
SKU0266,Seafood Product 176,Seafood,A,S008,PT Hygienic Supplies,WHBDG,Bandung - Rancaekek,BATCH6706,2025-04-29,2025-03-30,2025-05-09,2025-07-15,133,238.00,56.00,16.00,0.00,1.00,1784.00,434,1334.00,225.00,1000.00,29.00,11.00,1,1013.00,1083.00,2.41,0.00,FIFO,Expiring Soon,-3.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0267,Frozen Product 35,Frozen,B,S005,PT Agro Raya,WHJKT,Jakarta - Cengkareng,BATCH6620,2025-08-11,2025-07-01,2026-02-12,2025-06-15,29,494.00,73.00,96.00,0.00,0.00,4798.00,2,1030.00,291.00,1300.00,150.00,54.00,2,320.00,338.00,1.58,0.00,FIFO,In Stock,-2.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0268,Personal Product 380,Personal Care,C,S004,PT Nusantara Supplier,WHDPS,Denpasar - Tabanan,BATCH3623,2025-07-27,2025-07-06,2029-08-30,2025-07-12,44,55.00,55.00,0.00,1.00,1.00,2248.00,616,245.00,1226.00,900.00,342.00,117.00,10,656.00,657.00,36072.00,0.00,FEFO,Low Stock,3.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0269,Bakery Product 95,Bakery,B,S003,PT Prima Distribusi,WHMDN,Medan - Deli Serdang,BATCH4232,2025-05-31,2025-05-03,2025-06-02,2025-07-22,101,304.00,68.00,44.00,0.00,0.00,4835.00,1,629.00,477.00,2200.00,81.00,33.00,1,381.00,392.00,1.16,0.00,FEFO,Expiring Soon,0.00,0.00,0.00,High return rate,2026-01-04T03:05:54Z
SKU0270,Dairy Product 386,Dairy,C,S002,PT Indo Fresh,WHDPS,Denpasar - Tabanan,BATCH4063,2025-08-14,2025-07-22,2025-09-07,2025-08-15,26,108.00,13.00,9.00,1.00,3.00,1240.00,292,871.00,344.00,300.00,25.00,13.00,1,156.00,144.00,16825.00,0.00,FEFO,Expiring Soon,-2.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0271,Meat Product 442,Meat,C,S008,PT Hygienic Supplies,WHDPS,Denpasar - Tabanan,BATCH7367,2025-03-30,2025-02-19,2025-04-14,2025-06-26,163,67.00,13.00,18.00,1.00,0.00,1060.00,308,632.00,475.00,600.00,55.00,23.00,3,870.00,830.00,58285.00,0.00,FEFO,Expiring Soon,0.00,0.00,0.00,Promotional item,2026-01-04T03:05:54Z
SKU0272,Household Product 317,Household,C,S003,PT Prima Distribusi,WHSBY,Surabaya - Sidoarjo,BATCH2388,2025-04-05,2025-02-21,2029-07-26,2025-07-31,157,107.00,10.00,2.00,1.00,3.00,764.00,242,1401.00,214.00,100.00,35.00,12.00,3,367.00,406.00,39268.00,0.00,FIFO,In Stock,3.00,0.00,0.00,Promotional item,2026-01-04T03:05:54Z
SKU0273,Fresh Product 192,Fresh Produce,C,S003,PT Prima Distribusi,WHDPS,Denpasar - Tabanan,BATCH3258,2025-06-02,2025-04-27,2025-06-11,2025-07-17,99,891.00,51.00,196.00,2.00,0.00,6648.00,2,1340.00,224.00,2000.00,108.00,42.00,1,89.00,82.00,79584.00,0.00,FEFO,Expiring Soon,0.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0274,Pantry Product 356,Pantry,B,S003,PT Prima Distribusi,WHDPS,Denpasar - Tabanan,BATCH5732,2025-07-29,2025-07-21,2029-04-26,2025-07-31,42,193.00,36.00,43.00,0.00,0.00,1592.00,616,1212.00,247.00,600.00,169.00,58.00,7,646.00,631.00,1.25,0.00,FIFO,In Stock,2.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0275,Pantry Product 444,Pantry,B,S006,PT Frozen Express,WHJKT,Jakarta - Cengkareng,BATCH4196,2025-05-08,2025-03-17,2027-02-11,2025-06-30,124,148.00,19.00,23.00,0.00,1.00,1100.00,273,1345.00,223.00,400.00,35.00,13.00,2,1293.00,1298.00,1.91,0.00,FEFO,In Stock,2.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0276,Frozen Product 351,Frozen,B,S008,PT Hygienic Supplies,WHMDN,Medan - Deli Serdang,BATCH3740,2025-05-19,2025-05-14,2026-03-20,2025-08-12,113,166.00,52.00,7.00,0.00,1.00,2153.00,833,771.00,389.00,600.00,104.00,39.00,3,705.00,766.00,1.17,0.00,FIFO,In Stock,6.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0277,Meat Product 276,Meat,C,S005,PT Agro Raya,WHBDG,Bandung - Rancaekek,BATCH9369,2025-05-15,2025-05-08,2025-06-04,2025-08-06,117,236.00,39.00,35.00,0.00,2.00,2257.00,766,1046.00,287.00,1100.00,103.00,35.00,3,181.00,188.00,42629.00,0.00,FIFO,Expiring Soon,5.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0278,Household Product 188,Household,C,S009,PT Beverage Nusantara,WHJKT,Jakarta - Cengkareng,BATCH4580,2025-05-20,2025-04-23,2029-06-11,2025-06-18,112,204.00,22.00,11.00,1.00,0.00,1284.00,497,1589.00,189.00,500.00,60.00,21.00,3,243.00,262.00,49639.00,0.00,FIFO,In Stock,-1.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0279,Meat Product 17,Meat,B,S008,PT Hygienic Supplies,WHSBY,Surabaya - Sidoarjo,BATCH8193,2025-06-12,2025-04-18,2025-06-19,2025-08-10,89,373.00,90.00,69.00,0.00,1.00,2927.00,1,1274.00,235.00,900.00,46.00,17.00,1,408.00,369.00,1.52,0.00,FIFO,Expiring Soon,0.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0280,Beverages Product 353,Beverages,A,S006,PT Frozen Express,WHDPS,Denpasar - Tabanan,BATCH3719,2025-04-01,2025-02-21,2028-08-24,2025-08-14,161,961.00,167.00,238.00,3.00,0.00,8610.00,3,1116.00,269.00,4100.00,134.00,48.00,1,798.00,843.00,7.67,0.00,FIFO,In Stock,2.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0281,Household Product 292,Household,B,S006,PT Frozen Express,WHDPS,Denpasar - Tabanan,BATCH9827,2025-06-30,2025-06-20,2029-11-03,2025-06-11,71,136.00,46.00,34.00,5.00,2.00,1805.00,589,753.00,398.00,400.00,59.00,23.00,2,994.00,907.00,1.35,0.00,FEFO,In Stock,1.00,-7.00,0.00,,2026-01-04T03:05:54Z
SKU0282,Pantry Product 488,Pantry,C,S009,PT Beverage Nusantara,WHJKT,Jakarta - Cengkareng,BATCH1971,2025-08-06,2025-07-20,2028-11-25,2025-06-12,34,37.00,37.00,0.00,2.00,0.00,2031.00,623,182.00,1647.00,700.00,155.00,53.00,5,1400.00,1528.00,51816.00,0.00,FIFO,Low Stock,0.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0283,Meat Product 365,Meat,B,S006,PT Frozen Express,WHBDG,Bandung - Rancaekek,BATCH9019,2025-03-20,2025-03-11,2025-04-06,2025-06-21,173,320.00,61.00,91.00,0.00,0.00,2565.00,943,1248.00,240.00,1100.00,274.00,94.00,7,275.00,277.00,88134.00,0.00,FEFO,Expiring Soon,0.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0284,Frozen Product 325,Frozen,C,S002,PT Indo Fresh,WHMDN,Medan - Deli Serdang,BATCH7046,2025-05-01,2025-04-02,2026-01-07,2025-07-30,131,42.00,14.00,20.00,3.00,0.00,810.00,222,519.00,579.00,500.00,13.00,5.00,1,516.00,474.00,21651.00,0.00,FEFO,In Stock,2.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0285,Household Product 434,Household,B,S002,PT Indo Fresh,WHMDN,Medan - Deli Serdang,BATCH6869,2025-03-31,2025-02-05,2029-12-20,2025-07-03,162,128.00,27.00,25.00,0.00,1.00,1217.00,323,1052.00,285.00,500.00,81.00,32.00,4,1131.00,1286.00,1.45,0.00,FIFO,In Stock,7.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0286,Personal Product 423,Personal Care,C,S004,PT Nusantara Supplier,WHMDN,Medan - Deli Serdang,BATCH5646,2025-07-03,2025-06-12,2028-04-24,2025-06-29,68,64.00,2.00,5.00,2.00,2.00,720.00,178,889.00,338.00,100.00,60.00,24.00,5,962.00,967.00,61571.00,0.00,FIFO,In Stock,1.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0287,Household Product 458,Household,B,S001,PT Segar Makmur,WHJKT,Jakarta - Cengkareng,BATCH8529,2025-08-15,2025-08-14,2030-02-17,2025-08-20,25,269.00,19.00,37.00,3.00,1.00,1761.00,472,1528.00,196.00,500.00,28.00,10.00,1,436.00,449.00,1.17,0.00,FIFO,In Stock,0.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0288,Fresh Product 491,Fresh Produce,C,S007,PT Bakerindo,WHBDG,Bandung - Rancaekek,BATCH5945,2025-03-17,2025-03-07,2025-03-22,2025-08-29,176,180.00,22.00,32.00,1.00,1.00,2016.00,743,893.00,336.00,1100.00,128.00,47.00,4,146.00,136.00,26311.00,0.00,FEFO,Expiring Soon,0.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0289,Meat Product 191,Meat,C,S003,PT Prima Distribusi,WHJKT,Jakarta - Cengkareng,BATCH4836,2025-05-31,2025-05-04,2025-06-14,2025-06-11,101,36.00,3.00,6.00,2.00,0.00,304.00,65,1184.00,253.00,200.00,21.00,12.00,3,250.00,238.00,9000.00,0.00,FIFO,Expiring Soon,-2.00,0.00,0.00,High return rate,2026-01-04T03:05:54Z
SKU0290,Frozen Product 68,Frozen,C,S010,PT DailyDairy,WHBDG,Bandung - Rancaekek,BATCH8291,2025-04-30,2025-04-30,2026-04-19,2025-06-12,132,135.00,87.00,7.00,0.00,1.00,2919.00,787,462.00,649.00,600.00,134.00,46.00,3,243.00,273.00,32846.00,0.00,FIFO,In Stock,0.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0291,Dairy Product 441,Dairy,C,S007,PT Bakerindo,WHBDG,Bandung - Rancaekek,BATCH4751,2025-05-10,2025-04-16,2025-05-19,2025-08-27,122,180.00,52.00,41.00,1.00,0.00,1764.00,590,1020.00,294.00,600.00,266.00,90.00,10,109.00,106.00,19573.00,0.00,FIFO,Low Stock,-2.00,0.00,0.00,Promotional item,2026-01-04T03:05:54Z
SKU0292,Personal Product 71,Personal Care,B,S007,PT Bakerindo,WHBDG,Bandung - Rancaekek,BATCH3340,2025-03-29,2025-03-25,2030-01-13,2025-06-23,164,87.00,34.00,16.00,2.00,0.00,1075.00,350,809.00,371.00,600.00,53.00,21.00,3,923.00,959.00,80316.00,0.00,FIFO,In Stock,-6.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0293,Frozen Product 370,Frozen,C,S004,PT Nusantara Supplier,WHBDG,Bandung - Rancaekek,BATCH8248,2025-05-27,2025-04-02,2026-04-29,2025-08-29,105,126.00,28.00,14.00,0.00,2.00,1001.00,304,1259.00,238.00,300.00,38.00,18.00,2,525.00,487.00,66112.00,0.00,FIFO,In Stock,-2.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0294,Dairy Product 64,Dairy,B,S010,PT DailyDairy,WHMDN,Medan - Deli Serdang,BATCH6152,2025-06-12,2025-04-23,2025-07-02,2025-08-09,89,579.00,132.00,50.00,2.00,0.00,5427.00,2,1067.00,281.00,1900.00,577.00,197.00,7,189.00,207.00,1.09,0.00,FIFO,Expiring Soon,5.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0295,Fresh Product 284,Fresh Produce,C,S010,PT DailyDairy,WHDPS,Denpasar - Tabanan,BATCH1439,2025-04-07,2025-02-12,2025-04-14,2025-08-14,155,161.00,16.00,19.00,0.00,0.00,1562.00,532,1031.00,291.00,800.00,119.00,41.00,5,128.00,145.00,20573.00,0.00,FEFO,Expiring Soon,-1.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0296,Frozen Product 383,Frozen,A,S007,PT Bakerindo,WHSBY,Surabaya - Sidoarjo,BATCH4921,2025-03-28,2025-02-25,2025-10-07,2025-08-26,165,351.00,44.00,11.00,2.00,2.00,1936.00,532,1813.00,165.00,1000.00,296.00,102.00,10,666.00,652.00,2.34,0.00,FEFO,In Stock,-2.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0297,Pantry Product 37,Pantry,C,S009,PT Beverage Nusantara,WHJKT,Jakarta - Cengkareng,BATCH3162,2025-06-09,2025-05-16,2028-03-18,2025-07-25,92,73.00,7.00,8.00,0.00,0.00,465.00,121,1570.00,191.00,300.00,11.00,6.00,1,169.00,179.00,12319.00,0.00,FEFO,In Stock,2.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0298,Dairy Product 242,Dairy,C,S002,PT Indo Fresh,WHJKT,Jakarta - Cengkareng,BATCH1225,2025-04-12,2025-03-27,2025-04-21,2025-09-04,150,56.00,56.00,0.00,2.00,1.00,3545.00,1,158.00,1899.00,1300.00,61.00,26.00,1,92.00,104.00,5153.00,0.00,FIFO,Low Stock,1.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0299,Personal Product 204,Personal Care,B,S009,PT Beverage Nusantara,WHSBY,Surabaya - Sidoarjo,BATCH9209,2025-04-02,2025-02-12,2030-03-31,2025-07-17,160,92.00,16.00,18.00,1.00,4.00,562.00,121,1637.00,183.00,400.00,38.00,16.00,4,1550.00,1770.00,1.43,0.00,FEFO,In Stock,0.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0300,Fresh Product 275,Fresh Produce,C,S009,PT Beverage Nusantara,WHDPS,Denpasar - Tabanan,BATCH2369,2025-08-01,2025-07-13,2025-08-08,2025-07-06,39,186.00,17.00,17.00,3.00,0.00,1161.00,366,1602.00,187.00,300.00,42.00,19.00,2,154.00,174.00,28698.00,0.00,FIFO,Expiring Soon,-5.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0301,Personal Product 80,Personal Care,B,S009,PT Beverage Nusantara,WHSBY,Surabaya - Sidoarjo,BATCH2083,2025-06-01,2025-05-13,2029-09-14,2025-08-10,100,142.00,26.00,23.00,1.00,0.00,1895.00,445,749.00,400.00,700.00,66.00,28.00,2,769.00,834.00,1.09,0.00,FEFO,In Stock,0.00,0.00,0.00,Seasonal SKU,2026-01-04T03:05:54Z
SKU0302,Personal Product 60,Personal Care,B,S008,PT Hygienic Supplies,WHDPS,Denpasar - Tabanan,BATCH6067,2025-04-07,2025-02-24,2026-07-28,2025-08-25,155,137.00,16.00,4.00,2.00,3.00,1278.00,491,1072.00,280.00,500.00,274.00,95.00,14,653.00,631.00,89434.00,0.00,FIFO,Low Stock,4.00,0.00,0.00,High return rate,2026-01-04T03:05:54Z
SKU0303,Beverages Product 84,Beverages,C,S008,PT Hygienic Supplies,WHSBY,Surabaya - Sidoarjo,BATCH5247,2025-04-29,2025-04-19,2029-03-23,2025-08-24,133,91.00,76.00,15.00,2.00,1.00,2074.00,569,439.00,684.00,1400.00,63.00,22.00,2,727.00,827.00,66174.00,0.00,FEFO,In Stock,-1.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0304,Household Product 376,Household,C,S002,PT Indo Fresh,WHJKT,Jakarta - Cengkareng,BATCH5456,2025-06-16,2025-05-14,2028-11-11,2025-08-07,85,30.00,0.00,3.00,0.00,0.00,314.00,78,955.00,314.00,100.00,16.00,10.00,2,1942.00,1948.00,58271.00,0.00,FIFO,In Stock,0.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0305,Pantry Product 40,Pantry,C,S008,PT Hygienic Supplies,WHMDN,Medan - Deli Serdang,BATCH1908,2025-05-02,2025-04-01,2028-05-08,2025-07-24,130,13.00,2.00,2.00,2.00,0.00,129.00,47,1008.00,298.00,200.00,3.00,2.00,1,727.00,808.00,9457.00,0.00,FIFO,In Stock,2.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0306,Beverages Product 458,Beverages,B,S010,PT DailyDairy,WHJKT,Jakarta - Cengkareng,BATCH1042,2025-07-13,2025-07-11,2029-05-20,2025-08-09,58,661.00,243.00,134.00,0.00,0.00,7967.00,3,830.00,362.00,2500.00,1.20,406.00,10,185.00,182.00,1.22,0.00,FIFO,Low Stock,3.00,0.00,0.00,Promotional item,2026-01-04T03:05:54Z
SKU0307,Bakery Product 77,Bakery,B,S003,PT Prima Distribusi,WHJKT,Jakarta - Cengkareng,BATCH7870,2025-04-21,2025-04-07,2025-04-28,2025-08-09,141,633.00,55.00,32.00,1.00,2.00,4802.00,1,1318.00,228.00,2600.00,217.00,73.00,3,294.00,265.00,1.86,0.00,FEFO,Expiring Soon,3.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0308,Beverages Product 139,Beverages,C,S002,PT Indo Fresh,WHDPS,Denpasar - Tabanan,BATCH9225,2025-06-06,2025-04-24,2027-02-05,2025-08-18,95,488.00,58.00,119.00,2.00,0.00,5854.00,2,834.00,360.00,2500.00,273.00,97.00,3,163.00,178.00,79725.00,0.00,FIFO,In Stock,5.00,1.00,0.00,,2026-01-04T03:05:54Z
SKU0309,Frozen Product 24,Frozen,A,S007,PT Bakerindo,WHJKT,Jakarta - Cengkareng,BATCH6090,2025-05-13,2025-04-23,2026-01-20,2025-07-01,119,329.00,58.00,39.00,1.00,0.00,2615.00,763,1258.00,238.00,1100.00,118.00,40.00,3,748.00,761.00,2.46,0.00,FIFO,In Stock,3.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0310,Bakery Product 150,Bakery,C,S010,PT DailyDairy,WHSBY,Surabaya - Sidoarjo,BATCH8600,2025-04-03,2025-03-11,2025-04-06,2025-08-15,159,112.00,9.00,14.00,1.00,0.00,1082.00,266,1035.00,290.00,400.00,123.00,47.00,7,233.00,224.00,26113.00,0.00,FEFO,Low Stock,1.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0311,Pantry Product 408,Pantry,A,S004,PT Nusantara Supplier,WHBDG,Bandung - Rancaekek,BATCH1391,2025-09-08,2025-08-25,2028-12-25,2025-06-20,1,291.00,37.00,50.00,4.00,1.00,2473.00,670,1177.00,255.00,1400.00,190.00,66.00,5,825.00,771.00,2.40,0.00,FEFO,In Stock,5.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0312,Household Product 487,Household,C,S006,PT Frozen Express,WHJKT,Jakarta - Cengkareng,BATCH6038,2025-03-25,2025-03-19,2028-05-03,2025-07-04,168,35.00,2.00,2.00,3.00,0.00,439.00,163,797.00,376.00,300.00,7.00,3.00,1,675.00,704.00,23632.00,0.00,FIFO,In Stock,-3.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0313,Bakery Product 493,Bakery,C,S001,PT Segar Makmur,WHBDG,Bandung - Rancaekek,BATCH1719,2025-06-30,2025-05-03,2025-07-02,2025-07-05,71,265.00,155.00,110.00,6.00,2.00,5712.00,2,464.00,647.00,2200.00,430.00,144.00,5,171.00,186.00,45307.00,0.00,FIFO,Low Stock,7.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0314,Personal Product 235,Personal Care,B,S002,PT Indo Fresh,WHDPS,Denpasar - Tabanan,BATCH3187,2025-08-16,2025-07-07,2029-06-16,2025-08-31,24,66.00,11.00,36.00,2.00,0.00,1097.00,388,602.00,499.00,300.00,51.00,18.00,3,2014.00,1965.00,1.33,0.00,FEFO,In Stock,0.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0315,Fresh Product 340,Fresh Produce,C,S003,PT Prima Distribusi,WHBDG,Bandung - Rancaekek,BATCH6161,2025-06-27,2025-04-29,2025-07-04,2025-06-12,74,254.00,25.00,27.00,4.00,1.00,2137.00,483,1189.00,252.00,800.00,131.00,46.00,4,127.00,116.00,32134.00,0.00,FEFO,Expiring Soon,-4.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0316,Seafood Product 232,Seafood,C,S005,PT Agro Raya,WHBDG,Bandung - Rancaekek,BATCH3230,2025-08-21,2025-07-03,2025-08-27,2025-08-21,19,15.00,2.00,1.00,3.00,1.00,111.00,25,1351.00,222.00,300.00,12.00,6.00,5,1427.00,1430.00,21404.00,0.00,FIFO,Expiring Soon,0.00,0.00,0.00,Fragile,2026-01-04T03:05:54Z
